"countryname","region","indicator","value"
"afghanistan","South Asia","deaths.1000.live.births",101.3
"afghanistan","South Asia","years",54.4
"afghanistan","South Asia","deaths.100000.live.births",521
"albania","Europe","deaths.1000.live.births",10.3
"albania","Europe","years",79.9
"albania","Europe","deaths.100000.live.births",7
"algeria","Africa","deaths.1000.live.births",18.7
"algeria","Africa","years",77.9
"algeria","Africa","deaths.100000.live.births",62
"american-samoa","Australia and Oceania","deaths.1000.live.births",9.7
"american-samoa","Australia and Oceania","years",75.8
"american-samoa","Australia and Oceania","deaths.100000.live.births",NA
"andorra","Europe","deaths.1000.live.births",3.3
"andorra","Europe","years",83.8
"andorra","Europe","deaths.100000.live.births",11
"angola","Africa","deaths.1000.live.births",55.6
"angola","Africa","years",62.9
"angola","Africa","deaths.100000.live.births",183
"anguilla","Central America and the Caribbean","deaths.1000.live.births",3
"anguilla","Central America and the Caribbean","years",82.6
"anguilla","Central America and the Caribbean","deaths.100000.live.births",NA
"antigua-and-barbuda","Central America and the Caribbean","deaths.1000.live.births",13.6
"antigua-and-barbuda","Central America and the Caribbean","years",78.3
"antigua-and-barbuda","Central America and the Caribbean","deaths.100000.live.births",35
"argentina","South America","deaths.1000.live.births",9
"argentina","South America","years",78.8
"argentina","South America","deaths.100000.live.births",33
"armenia","Central Asia","deaths.1000.live.births",11.6
"armenia","Central Asia","years",76.7
"armenia","Central Asia","deaths.100000.live.births",19
"aruba","Central America and the Caribbean","deaths.1000.live.births",11.5
"aruba","Central America and the Caribbean","years",78.5
"aruba","Central America and the Caribbean","deaths.100000.live.births",NA
"australia","Australia and Oceania","deaths.1000.live.births",2.9
"australia","Australia and Oceania","years",83.5
"australia","Australia and Oceania","deaths.100000.live.births",2
"austria","Europe","deaths.1000.live.births",3.2
"austria","Europe","years",82.7
"austria","Europe","deaths.100000.live.births",6
"azerbaijan","Central Asia","deaths.1000.live.births",10.9
"azerbaijan","Central Asia","years",75.9
"azerbaijan","Central Asia","deaths.100000.live.births",18
